PARK ID,PARK NAME,CLASSIFICATION,FULL ADDRESS,CITY,ZIP,RECREATION CENTER,FITNESS CENTER,STADIUM,ADULT LEISURE PROGRAM,PLAYGOUND,RESTROOM,SWIMMING POOL,SPRAY PAD,AQUATIC CENTER,INDOOR BASKETBALL,OUTDOOR BASKETBALL,BASEBALL UNLIGHTED,BASEBALL LIGHTED,SOCCER FIELD,RUGBY FIELD,INDOOR TENNIS COURT,TENNIS UNLIGHTED,TENNIS LIGHTED,GOLF COURSE 9 HOLE,GOLF COURSE 18 HOLE,DISC GOLF,BOCCE BALL,CROQUET,FISHING LAKE,DOG PARK,SKATE PARK,CYCLING VELODROME,BMX TRACK,MOUNTAIN BIKE TRAIL,WALKING PATH SURFACED,WALKING LOOP,EQUESTRIAN,ARCHERY  RANGE,AIRGUN RANGE,GEOLOCATION
40,College Town Park,Neighborhood,251 AMHERST AVE,BATON ROUGE,70808,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"251 AMHERST AVE
BATON ROUGE 70808
(30.404782, -91.171364)"
33,Chamberlain Street Park,Neighborhood,16900 CHAMBERLAIN AVE,BAKER,70714,,,,,1,1,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,"16900 CHAMBERLAIN AVE
BAKER 70714
(30.60553, -91.182748)"
69,Gayosa Street Park,Neighborhood,2129 GAYOSA ST,BATON ROUGE,70802,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,"2129 GAYOSA ST
BATON ROUGE 70802
(30.454205, -91.166618)"
54,East Polk Street Park,Neighborhood,1700 E POLK ST,BATON ROUGE,70802,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,"1700 E POLK ST
BATON ROUGE 70802
(30.427214, -91.170884)"
63,Fiesta Park,Neighborhood,1000 FIESTA CT,BATON ROUGE,70815,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1000 FIESTA CT
BATON ROUGE 70815
(30.459672, -91.07456)"
123,Monte Sano Park,Neighborhood,2727 GREENWELL ST,BATON ROUGE,70805,1,,,,1,,,,,1,,1,1,,,,1,,,,,,,,,,,,,,,,,,"2727 GREENWELL ST
BATON ROUGE 70805
(30.502733, -91.162783)"
145,Rio Drive Park,Neighborhood,6900 RIO DR,BATON ROUGE,70812,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,"6900 RIO DR
BATON ROUGE 70812
(30.503751, -91.121395)"
110,Madison Avenue Park,Neighborhood,1820 MADISON AVE,BATON ROUGE,70802,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,"1820 MADISON AVE
BATON ROUGE 70802
(30.467382, -91.170218)"
181,Yatasi Drive Park,Neighborhood,16941 YATASI DR,GREENWELL SPRINGS,70739,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,"16941 YATASI DR
GREENWELL SPRINGS 70739"
15,Beaver Creek Park and Golf Course,Golf Course,22600 BEAVER CREEK BLVD,ZACHARY,70791,,,,,1,2,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,"22600 BEAVER CREEK BLVD
ZACHARY 70791"
169,Thirty-Ninth Street Park,Neighborhood,3451 39TH ST,ZACHARY,70791,,,,,1,1,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,"3451 39TH ST
ZACHARY 70791
(30.638857, -91.1657)"
96,Kinchloe Lloyd Baker Park,Conservation,20821 GREENWELL SPRINGS RD,GREENWELL SPRINGS,70739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20821 GREENWELL SPRINGS RD
GREENWELL SPRINGS 70739
(30.552424, -90.982669)"
20,Blueberry Street Park,Neighborhood,1870 N ARDENWOOD DR,BATON ROUGE,70806,1,,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,"1870 N ARDENWOOD DR
BATON ROUGE 70806
(30.465843, -91.128947)"
119,Memorial Sports Complex,Special Facility,1702 FOSS ST,BATON ROUGE,70802,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,"1702 FOSS ST
BATON ROUGE 70802
(30.459777, -91.172884)"
175,Wenonah Street Park,Neighborhood,3300 WENONAH ST,BATON ROUGE,70805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3300 WENONAH ST
BATON ROUGE 70805
(30.478095, -91.164164)"
153,Sandy Creek Community Park,Community,21572 CARSON RD,GREENWELL SPRINGS,70739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21572 CARSON RD
GREENWELL SPRINGS 70739
(30.668811, -90.960714)"
42,Congress Park,Neighborhood,5100 CONGRESS BLVD,BATON ROUGE,70808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,"5100 CONGRESS BLVD
BATON ROUGE 70808
(30.418657, -91.133325)"
95,Kerr Warren Park,Neighborhood,4100 GERONIMO ST,BATON ROUGE,70805,1,,,,1,,,,,1,,1,,,,,2,,,,,,,,,,,,,,,,,,"4100 GERONIMO ST
BATON ROUGE 70805
(30.486832, -91.161971)"
3,Alaska Street Park,Neighborhood,3014 ALASKA ST,BATON ROUGE,70802,1,,,,1,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,"3014 ALASKA ST
BATON ROUGE 70802
(30.420821, -91.184235)"
26,Burbank Conservation Area,Conservation,8858 BURBANK DR,BATON ROUGE,70820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8858 BURBANK DR
BATON ROUGE 70820
(30.362503, -91.128799)"
24,Brown Heights Park,Neighborhood,15206 PLANK RD,BAKER,70714,,,,,1,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,"15206 PLANK RD
BAKER 70714
(30.586059, -91.125013)"
155,Santa Maria Park,Neighborhood,18460 SANTA MARIA PKWY,BATON ROUGE,70809,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,"18460 SANTA MARIA PKWY
BATON ROUGE 70809
(30.341042, -91.009044)"
118,Meadow Park,Neighborhood,6951 MEADOW PARK AVE,BATON ROUGE,70810,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,"6951 MEADOW PARK AVE
BATON ROUGE 70810
(30.372194, -91.069272)"
122,Milton J. Womack Park,Special Facility,6201 FLORIDA BLVD,BATON ROUGE,70806,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6201 FLORIDA BLVD
BATON ROUGE 70806
(30.451316, -91.126081)"
36,J.S. Clark Park and Golf Course,Golf Course,2301 THOMAS RD,BATON ROUGE,70807,,,,,1,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,"2301 THOMAS RD
BATON ROUGE 70807
(30.558444, -91.168906)"
